Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1996-02-01,649.54,14,34.01,154.9,5.81,1008.28,21.73,52.8,25.98
1996-03-01,647.07,14.1,34.04,155.7,6.27,999.29,21.77,52.57,25.63
1996-04-01,647.17,14.16,34.33,156.3,6.51,995.6,21.78,52.81,25.42
1996-05-01,661.23,14.21,34.62,156.6,6.74,1015.29,21.82,53.16,25.81
1996-06-01,668.5,14.27,34.91,156.7,6.91,1025.79,21.9,53.57,25.97
1996-07-01,644.07,14.4,35.27,157,6.87,986.42,22.05,54.02,24.86
1996-08-01,662.68,14.53,35.64,157.3,6.64,1012.98,22.21,54.47,25.41
1996-09-01,674.88,14.66,36,157.8,6.83,1028.36,22.34,54.86,25.68
1996-10-01,701.46,14.74,36.91,158.3,6.53,1065.49,22.39,56.06,26.48
1996-11-01,735.67,14.82,37.82,158.6,6.2,1115.34,22.47,57.34,27.59
1996-12-01,743.25,14.9,38.73,158.6,6.3,1126.83,22.59,58.72,27.72
1997-01-01,766.22,14.95,39.23,159.1,6.58,1158.01,22.6,59.29,28.33
1997-02-01,798.39,15.01,39.74,159.6,6.42,1202.85,22.61,59.87,29.27
1997-03-01,792.16,15.06,40.24,160,6.69,1190.48,22.63,60.47,28.8
1997-04-01,763.93,15.09,40.34,160.2,6.89,1146.62,22.65,60.55,27.59
1997-05-01,833.09,15.13,40.45,160.1,6.71,1251.2,22.72,60.75,29.93
1997-06-01,876.29,15.16,40.55,160.3,6.49,1314.44,22.74,60.83,31.26
1997-07-01,925.29,15.22,40.58,160.5,6.22,1386.21,22.8,60.79,32.77
1997-08-01,927.24,15.27,40.61,160.8,6.3,1386.54,22.84,60.73,32.59
1997-09-01,937.02,15.33,40.64,161.2,6.21,1397.69,22.87,60.62,32.67
1997-10-01,951.16,15.39,40.33,161.6,6.03,1415.27,22.89,60.01,32.9
1997-11-01,938.92,15.44,40.03,161.5,5.88,1397.92,22.99,59.59,32.34
1997-12-01,962.37,15.5,39.72,161.3,5.81,1434.61,23.11,59.21,33.03
1998-01-01,963.36,15.55,39.66,161.6,5.54,1433.42,23.14,59.01,32.86
1998-02-01,1023.74,15.6,39.6,161.9,5.57,1520.44,23.17,58.81,34.71
1998-03-01,1076.83,15.64,39.54,162.2,5.65,1596.33,23.19,58.62,36.3
1998-04-01,1112.2,15.75,39.35,162.5,5.64,1645.72,23.31,58.23,37.28
1998-05-01,1108.42,15.85,39.16,162.8,5.65,1637.11,23.41,57.84,36.96
1998-06-01,1108.39,15.95,38.97,163,5.5,1635.06,23.53,57.49,36.8
1998-07-01,1156.58,16.02,38.68,163.2,5.46,1704.05,23.6,56.98,38.26
1998-08-01,1074.62,16.08,38.38,163.4,5.34,1581.36,23.67,56.48,35.42
1998-09-01,1020.64,16.14,38.09,163.6,4.81,1500.09,23.72,55.98,33.53
1998-10-01,1032.47,16.17,37.96,164,4.53,1513.77,23.7,55.66,33.77
1998-11-01,1144.43,16.18,37.84,164,4.83,1677.93,23.73,55.47,37.37
