DATE,PRICE,Open,High,Low,Vol.,Change %
"Jul 24, 2016",5643.96,5574.3,5650.8,5574.3,3.82B,1.25%
"Jul 17, 2016",5574.33,5510.1,5606.6,5509.8,3.79B,1.17%
"Jul 10, 2016",5510.1,5315.6,5531.2,5315.6,3.68B,3.66%
"Jul 03, 2016",5315.55,5327.1,5365.9,5237.8,3.55B,-0.22%
"Jun 26, 2016",5327.04,5192.8,5356.5,5131.9,4.74B,2.58%
"Jun 19, 2016",5192.83,5248.3,5402.2,5163.7,4.35B,-1.06%
"Jun 12, 2016",5248.28,5391.6,5391.6,5226.9,4.21B,-2.66%
"Jun 05, 2016",5391.56,5392.5,5461,5374.4,3.81B,-0.02%
"May 29, 2016",5392.55,5469.7,5479.2,5346.8,4.04B,-1.41%
"May 22, 2016",5469.72,5415.2,5489.8,5361.9,3.81B,1.01%
"May 15, 2016",5415.18,5396.3,5458.5,5367.5,4.09B,0.35%
"May 08, 2016",5396.27,5358.6,5483.7,5334.8,4.23B,0.70%
"May 01, 2016",5358.57,5316,5418.3,5253.2,4.55B,0.80%
"Apr 24, 2016",5316,5299.2,5342.9,5246,3.59B,0.32%
"Apr 17, 2016",5299.24,5224.1,5342.4,5188,4.27B,1.44%
"Apr 10, 2016",5224.09,5018,5224.1,4993.8,3.75B,4.11%
"Apr 03, 2016",5018,5073.8,5118.3,4975.7,3.36B,-1.10%
"Mar 27, 2016",5073.78,5151.6,5166.1,5051.2,2.87B,-1.51%
"Mar 20, 2016",5151.62,5239.3,5253.4,5137.3,3.07B,-1.67%
"Mar 13, 2016",5239.35,5224.8,5272.1,5147.4,5.40B,0.28%
"Mar 06, 2016",5224.83,5151.1,5245,5143.6,5.68B,1.43%
"Feb 28, 2016",5151.05,4945.1,5164.6,4936.6,5.47B,4.16%
"Feb 21, 2016",4945.09,5008.3,5090.1,4905.5,5.78B,-1.26%
"Feb 14, 2016",5008.28,4816.6,5047.11,4816.6,5.33B,3.98%
"Feb 07, 2016",4816.61,5025.6,5026.5,4762.1,4.51B,-4.16%
"Jan 31, 2016",5025.62,5056.6,5122.1,4927.8,4.16B,-0.61%
"Jan 24, 2016",5056.6,4969.6,5059.8,4964.1,3.40B,1.75%
"Jan 17, 2016",4969.56,4925.8,4984,4857.9,4.02B,0.43%
"Jan 10, 2016",4948.51,5049.4,5049.4,4922,3.68B,-2.00%
"Jan 03, 2016",5049.41,5344.6,5379.6,5000.4,3.43B,-5.52%
"Dec 27, 2015",5344.56,5256.1,5372,5239,1.31B,1.68%
"Dec 20, 2015",5256.14,5156.5,5259.3,5126.1,2.18B,1.93%
"Dec 13, 2015",5156.5,5078.6,5176.1,4963.86,5.43B,1.53%
"Dec 06, 2015",5078.63,5201.5,5279.1,5048.4,4.35B,-2.36%
"Nov 29, 2015",5201.47,5251.4,5325.5,5168.9,5.16B,-0.95%
"Nov 22, 2015",5251.4,5305.5,5334.5,5238,4.38B,-1.02%
"Nov 15, 2015",5305.45,5111.8,5321.1,5041.6,3.89B,3.79%
"Nov 08, 2015",5111.76,5269.7,5269.7,5071.8,4.44B,-3.00%
"Nov 01, 2015",5269.72,5288.6,5361.4,5210,3.50B,-0.36%
"Oct 25, 2015",5288.56,5388.1,5420.6,5253,4.00B,-1.85%
"Oct 18, 2015",5388.13,5303.7,5407.7,5236.1,3.74B,1.59%
"Oct 11, 2015",5303.75,5309.2,5329.2,5198.8,4.14B,-0.10%
