DATE,PRICE,Open,High,Low,Vol.,Change %
"Sep 28, 2014",17009.69,17107.69,17145.1,16674.04,440.18M,-0.60%
"Sep 21, 2014",17113.15,17271.71,17277.88,16945.8,400.10M,-0.96%
"Sep 14, 2014",17279.74,16988.76,17350.64,16951.38,667.67M,1.72%
"Sep 07, 2014",16987.51,17131.71,17137.88,16937.67,357.93M,-0.87%
"Aug 31, 2014",17137.36,17097.42,17161.55,17009.07,272.33M,0.23%
"Aug 24, 2014",17098.45,17011.81,17153.8,17011.81,303.16M,0.57%
"Aug 17, 2014",17001.22,16664.45,17074.59,16664.45,334.35M,2.03%
"Aug 10, 2014",16662.91,16557.27,16775.27,16518.06,365.90M,0.66%
"Aug 03, 2014",16553.93,16493.72,16596.22,16333.78,394.33M,0.37%
"Jul 27, 2014",16493.37,16956.91,17056.46,16437.07,406.44M,-2.75%
"Jul 20, 2014",16960.57,17095.11,17133.43,16915.65,352.67M,-0.82%
"Jul 13, 2014",17100.18,16950.93,17151.56,16950.93,485.58M,0.92%
"Jul 06, 2014",16943.81,17063.83,17063.83,16805.38,331.95M,-0.73%
"Jun 29, 2014",17068.26,16852.49,17074.65,16801.94,289.05M,1.28%
"Jun 22, 2014",16851.84,16946.5,16969.7,16746.09,419.13M,-0.56%
"Jun 15, 2014",16947.08,16765.56,16978.02,16722.86,542.72M,1.02%
"Jun 08, 2014",16775.74,16926.08,16970.17,16703.73,361.33M,-0.88%
"Jun 01, 2014",16924.28,16716.85,16924.28,16673.65,341.95M,1.24%
"May 25, 2014",16717.17,16607.42,16721.22,16607.42,304.03M,0.67%
"May 18, 2014",16606.27,16490.35,16613.07,16341.3,354.64M,0.70%
"May 11, 2014",16491.31,16584.82,16735.51,16397.46,440.80M,-0.55%
"May 04, 2014",16583.34,16509.75,16622.95,16357.35,389.16M,0.43%
"Apr 27, 2014",16512.89,16363.2,16620.06,16312.66,424.26M,0.93%
"Apr 20, 2014",16361.46,16408.92,16565.71,16333.78,412.13M,-0.29%
"Apr 13, 2014",16408.54,16028.29,16460.49,16028.29,418.72M,2.38%
"Apr 06, 2014",16026.75,16414.15,16456.12,16015.32,538.70M,-2.35%
"Mar 30, 2014",16412.71,16324.22,16631.63,16324.22,452.22M,0.55%
"Mar 23, 2014",16323.06,16303.28,16466.04,16191.79,472.52M,0.12%
"Mar 16, 2014",16302.77,16066.37,16456.45,16066.37,703.39M,1.48%
"Mar 09, 2014",16065.67,16453.1,16460.33,16046.99,396.08M,-2.35%
"Mar 02, 2014",16452.72,16321.71,16505.7,16071.25,419.44M,0.80%
"Feb 23, 2014",16321.71,16102.27,16398.95,16102.27,657.78M,1.36%
"Feb 16, 2014",16103.3,16153.97,16225.72,16006.59,376.12M,-0.32%
"Feb 09, 2014",16154.39,15793.63,16175.55,15733.69,440.87M,2.28%
"Feb 02, 2014",15794.08,15697.69,15798.51,15340.69,593.04M,0.61%
"Jan 26, 2014",15698.85,15879.05,15945.89,15617.55,555.42M,-1.14%
